date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20100605,2.0,7.7,245.0,24.3,20.5,13.0,0.6,101750.0,
20100606,5.0,1.7,139.0,21.0,19.6,14.8,0.2,101160.0,
20100607,6.0,2.9,165.0,20.4,16.5,11.9,6.0,101100.0,
20100608,6.0,2.7,161.0,22.4,16.0,11.6,1.4,100210.0,
20100609,7.0,3.2,171.0,19.9,17.3,12.2,0.0,100430.0,
20100610,7.0,0.1,89.0,20.5,17.1,14.2,0.2,100710.0,
20100611,5.0,3.7,181.0,20.2,16.6,12.6,0.0,100920.0,
20100612,5.0,4.4,194.0,22.2,14.9,9.6,0.0,101560.0,
20100613,7.0,3.2,172.0,20.9,16.5,10.7,0.0,101510.0,
20100614,6.0,3.7,181.0,18.9,16.7,12.4,0.8,101720.0,
20100615,2.0,9.2,269.0,20.8,13.9,8.8,0.0,102720.0,
20100616,2.0,11.1,294.0,23.3,15.0,9.1,0.0,102540.0,
20100617,1.0,14.1,333.0,20.8,15.9,8.4,0.0,102200.0,
20100618,6.0,1.6,138.0,15.8,16.1,11.3,0.8,102010.0,
20100619,5.0,4.2,191.0,20.3,11.8,7.7,0.0,101780.0,
20100620,4.0,7.6,246.0,24.7,14.1,7.9,0.0,102120.0,
20100621,5.0,6.0,221.0,27.3,18.6,12.4,0.0,102290.0,
20100622,0.0,14.3,335.0,27.3,20.4,13.5,0.0,102320.0,
20100623,0.0,14.5,337.0,26.3,20.6,13.8,0.0,102180.0,
20100624,2.0,8.9,264.0,27.8,19.8,13.2,0.0,101930.0,
20100625,3.0,8.6,260.0,27.6,21.2,14.5,0.0,101730.0,
20100626,2.0,9.4,271.0,30.6,21.4,15.1,0.0,101680.0,
20100627,0.0,14.5,337.0,28.7,22.4,14.1,0.0,101800.0,
20100628,1.0,13.9,329.0,28.6,21.9,15.1,0.6,102040.0,
20100629,4.0,4.9,202.0,26.4,22.3,15.9,0.0,101920.0,
20100630,4.0,4.4,193.0,27.2,21.7,16.9,0.0,101850.0,
20100701,2.0,3.3,173.0,25.8,20.5,13.7,0.0,101330.0,
20100702,5.0,1.8,141.0,26.1,22.3,18.7,0.2,101160.0,
20100703,3.0,10.9,290.0,24.5,20.5,14.8,0.0,101880.0,
20100704,3.0,8.6,258.0,24.2,18.8,13.1,0.0,102010.0,
20100705,2.0,8.5,256.0,23.8,18.8,13.4,0.0,102150.0,
20100706,2.0,6.5,226.0,24.0,17.9,12.0,0.0,102500.0,
20100707,6.0,0.3,97.0,27.1,19.4,14.7,0.0,101970.0,
20100708,4.0,4.9,200.0,31.2,21.8,16.4,0.0,101790.0,
20100709,0.0,10.6,284.0,29.1,23.5,15.7,0.0,101650.0,
20100710,2.0,10.6,283.0,27.5,23.1,17.0,0.0,101740.0,
20100711,3.0,8.1,248.0,23.9,22.4,17.3,0.0,101440.0,
20100712,5.0,2.8,160.0,21.7,20.4,16.9,0.8,101200.0,
20100713,7.0,0.0,78.0,21.8,18.0,14.3,0.6,100860.0,
20100714,4.0,1.0,118.0,21.5,18.7,15.6,6.6,100260.0,
20100715,6.0,4.3,187.0,22.8,18.2,14.9,1.4,100430.0,
20100716,5.0,8.0,244.0,22.0,18.2,13.5,0.0,100890.0,
20100717,3.0,8.2,247.0,24.5,17.5,13.0,0.0,101920.0,
20100718,4.0,6.3,218.0,29.5,18.5,12.5,0.0,102500.0,
20100719,2.0,8.9,255.0,28.7,22.4,15.2,0.0,102090.0,
20100720,1.0,2.4,149.0,25.1,23.3,17.9,0.0,101120.0,
20100721,3.0,12.4,299.0,22.7,21.1,17.0,0.0,100630.0,
20100722,4.0,6.5,219.0,20.6,18.2,13.6,6.2,101190.0,
20100723,6.0,0.9,112.0,25.5,17.4,14.2,0.0,102030.0,
20100724,6.0,7.8,236.0,26.0,19.5,13.4,0.0,102190.0,
20100725,8.0,2.2,142.0,23.5,21.1,16.2,0.0,101730.0,
20100726,8.0,0.1,83.0,26.3,20.7,17.8,0.0,101670.0,
20100727,6.0,0.1,82.0,25.2,21.5,16.6,0.0,101720.0,
20100728,5.0,6.9,220.0,23.3,20.3,15.4,0.0,101710.0,
20100729,6.0,1.1,115.0,23.1,18.3,13.2,0.0,101610.0,
20100730,6.0,3.1,157.0,25.1,17.7,12.3,2.2,101470.0,
20100731,5.0,4.7,184.0,23.9,21.1,17.0,0.0,101160.0,
20100801,7.0,0.3,89.0,23.4,19.3,14.6,0.0,101320.0,
20100802,7.0,2.0,134.0,23.6,19.5,15.6,0.0,101680.0,
20100803,5.0,3.9,169.0,20.1,17.9,12.1,0.0,101570.0,
20100804,6.0,1.5,121.0,22.6,17.4,14.7,3.2,100800.0,
20100805,4.0,7.9,227.0,21.4,17.3,11.9,0.0,101250.0,
20100806,6.0,2.5,141.0,21.8,16.4,11.3,2.6,101480.0,
20100807,7.0,1.2,112.0,24.5,18.9,15.9,1.0,101480.0,
20100808,4.0,6.2,201.0,25.1,19.0,13.5,0.0,101940.0,
20100809,3.0,8.1,226.0,19.3,19.6,14.1,4.8,101540.0,
20100810,7.0,0.0,68.0,23.0,16.7,14.1,3.8,101040.0,
20100811,3.0,6.6,203.0,20.4,17.3,11.6,0.0,101330.0,
20100812,6.0,0.4,87.0,18.0,16.4,12.3,2.4,101640.0,
20100813,6.0,1.3,111.0,18.4,14.5,11.0,4.8,101750.0,
20100814,6.0,0.8,98.0,22.7,15.7,13.0,12.8,101740.0,
20100815,3.0,4.3,165.0,25.4,17.9,13.0,0.0,102020.0,
20100816,4.0,7.7,213.0,21.0,19.1,12.8,0.6,101620.0,
20100817,7.0,1.7,117.0,21.6,17.9,14.7,0.0,101060.0,
20100818,6.0,4.8,170.0,21.9,17.3,13.0,0.4,100830.0,
20100819,5.0,3.2,143.0,22.1,17.0,12.0,0.0,101240.0,
20100820,7.0,0.3,79.0,24.3,19.4,16.7,0.0,101550.0,
20100821,8.0,0.6,88.0,23.1,21.7,19.1,0.8,101830.0,
20100822,7.0,0.7,90.0,21.7,20.0,16.9,20.6,101320.0,
20100823,6.0,3.1,138.0,20.9,19.2,16.7,0.0,99960.0,
20100824,2.0,10.3,233.0,19.3,16.3,11.6,0.4,100920.0,
20100825,7.0,0.5,82.0,21.3,15.6,11.9,18.6,101290.0,
20100826,8.0,0.0,60.0,18.5,17.3,13.2,9.8,100410.0,
20100827,7.0,0.8,89.0,20.6,15.3,12.0,0.0,101060.0,
20100828,4.0,7.5,194.0,19.6,15.3,9.9,0.0,101990.0,
20100829,5.0,4.5,153.0,19.5,15.8,11.9,2.0,101690.0,
20100830,3.0,6.4,178.0,20.5,14.4,9.2,0.0,102390.0,
20100831,0.0,11.8,238.0,21.3,14.5,8.4,0.0,102560.0,
20100901,0.0,12.3,232.0,21.9,15.3,9.3,0.0,102160.0,
20100902,0.0,11.7,224.0,22.5,16.1,10.3,0.0,102100.0,
20100903,1.0,10.5,211.0,22.0,17.2,11.9,0.0,102150.0,
20100904,3.0,4.5,140.0,21.8,16.7,11.3,0.0,102110.0,
20100905,5.0,2.6,112.0,21.8,17.5,13.2,0.2,101900.0,
20100906,5.0,0.6,74.0,19.6,17.6,13.3,7.2,100790.0,
20100907,5.0,5.5,149.0,20.6,16.3,13.0,1.4,100090.0,
20100908,7.0,1.6,93.0,22.5,17.0,13.3,0.0,100340.0,
20100909,4.0,7.2,166.0,22.4,17.7,12.8,0.2,101420.0,
20100910,8.0,2.2,101.0,22.5,18.2,14.0,0.2,101770.0,
20100911,6.0,1.5,88.0,20.8,19.5,16.4,0.0,101470.0,
20100912,1.0,10.7,197.0,18.5,15.9,11.0,0.0,102260.0,
20100913,7.0,0.6,69.0,20.1,14.3,10.1,0.0,102500.0,
20100914,6.0,0.0,49.0,18.0,17.6,15.0,2.8,101600.0,
20100915,4.0,4.9,131.0,18.1,13.7,9.3,0.2,101190.0,
20100916,5.0,3.7,115.0,16.4,14.8,11.5,0.0,101170.0,
20100917,2.0,5.7,138.0,18.0,11.8,7.2,0.0,101670.0,
20100918,4.0,8.1,161.0,18.3,12.3,6.6,0.0,101950.0,
20100919,7.0,0.0,46.0,22.8,15.0,11.6,0.0,101550.0,
20100920,5.0,6.2,139.0,21.9,18.7,14.5,0.0,101380.0,
20100921,2.0,6.6,142.0,23.9,15.9,9.9,0.0,101900.0,
20100922,1.0,7.3,147.0,18.3,17.1,10.3,1.0,101590.0,
20100923,6.0,0.1,48.0,14.4,16.3,14.2,9.8,100700.0,
20100924,6.0,0.1,48.0,13.9,12.4,10.3,2.2,100650.0,
20100925,1.0,7.4,143.0,13.8,9.7,5.4,0.0,101640.0,
20100926,6.0,1.7,78.0,15.9,10.7,7.5,1.2,101320.0,
20100927,8.0,0.0,41.0,16.9,13.3,10.7,0.4,101260.0,
20100928,7.0,0.0,40.0,17.3,14.8,12.6,0.2,101680.0,
20100929,7.0,0.0,40.0,16.4,15.6,13.9,9.4,101580.0,
20100930,3.0,5.4,116.0,16.6,11.7,6.9,1.8,101390.0,
20101001,8.0,0.0,39.0,17.8,13.6,10.5,10.4,100310.0,
20101002,4.0,2.4,81.0,17.9,13.8,9.8,21.8,100360.0,
20101003,8.0,0.7,55.0,16.6,15.0,12.0,3.8,99600.0,
20101004,6.0,0.6,53.0,18.3,14.8,12.9,0.2,99890.0,
20101005,7.0,0.0,36.0,18.3,14.7,11.1,12.8,100060.0,
20101006,4.0,6.5,118.0,18.6,15.7,13.1,0.0,100660.0,
20101007,3.0,6.0,112.0,21.1,13.3,8.0,0.0,101740.0,
20101008,6.0,5.4,105.0,17.6,16.9,12.7,0.0,101550.0,
20101009,8.0,0.0,34.0,20.3,16.4,15.2,0.0,101460.0,
20101010,4.0,6.5,112.0,18.6,17.0,13.7,0.0,101260.0,
20101011,3.0,9.5,133.0,15.3,14.9,11.1,0.0,101810.0,
20101012,6.0,4.2,89.0,12.5,12.4,9.5,0.0,102060.0,
20101013,8.0,0.0,32.0,11.7,11.1,9.7,0.0,102130.0,
20101014,8.0,0.0,31.0,13.1,10.7,9.7,0.0,102140.0,
20101015,8.0,0.0,31.0,13.5,11.4,9.7,0.8,101860.0,
20101016,2.0,5.1,92.0,13.9,10.0,6.5,0.8,102040.0,
20101017,3.0,4.4,84.0,14.6,9.3,4.6,0.0,102590.0,
20101018,6.0,1.6,56.0,13.8,8.7,2.8,1.0,101970.0,
20101019,4.0,4.7,85.0,9.3,10.7,7.5,4.0,101130.0,
20101020,0.0,9.6,119.0,12.5,6.0,2.7,0.2,101990.0,
20101021,2.0,6.2,94.0,14.2,6.0,-0.6,0.0,102320.0,
20101022,6.0,0.7,42.0,12.8,8.9,3.5,6.0,101760.0,
20101023,6.0,3.5,70.0,11.2,10.5,8.2,0.2,100400.0,
20101024,1.0,7.6,99.0,12.1,7.0,2.7,0.0,101590.0,
20101025,0.0,9.2,108.0,14.0,6.3,0.5,0.2,102840.0,
20101026,8.0,0.0,25.0,17.6,8.0,1.9,4.0,102340.0,0.0
20101027,4.0,3.8,68.0,15.8,13.4,9.1,0.2,101660.0,0.0
20101028,5.0,0.5,35.0,14.8,13.0,10.2,0.0,101490.0,0.0
20101029,6.0,0.0,24.0,14.6,13.4,11.9,2.6,100040.0,0.0
20101030,4.0,5.3,76.0,12.5,11.7,8.7,2.4,99750.0,0.0
20101031,7.0,0.0,23.0,14.1,10.9,9.3,3.4,100020.0,0.0
20101101,5.0,2.4,52.0,15.3,10.9,7.7,0.4,101360.0,0.0
20101102,6.0,0.1,26.0,16.6,12.5,9.7,0.0,100980.0,0.0
20101103,6.0,2.2,49.0,18.5,14.6,12.5,0.0,101140.0,0.0
20101104,6.0,3.5,58.0,17.4,16.0,13.4,0.0,101770.0,0.0
20101105,8.0,0.1,24.0,11.7,16.1,14.7,6.6,101870.0,0.0
20101106,6.0,1.7,43.0,9.3,9.8,7.8,0.0,101580.0,0.0
20101107,7.0,1.7,42.0,9.5,7.0,4.7,2.0,100620.0,0.0
20101108,8.0,0.4,28.0,8.7,7.1,4.6,4.2,97310.0,0.0
20101109,6.0,0.0,20.0,10.1,7.0,5.3,0.4,97650.0,0.0
20101110,1.0,6.8,73.0,15.0,6.4,2.6,1.2,99830.0,0.0
20101111,6.0,1.2,35.0,12.0,7.9,0.7,4.6,99050.0,0.0
20101112,7.0,0.0,19.0,10.4,10.8,9.6,2.8,99260.0,0.0
20101113,7.0,0.0,19.0,8.1,9.5,8.6,0.6,99360.0,0.0
20101114,7.0,0.0,18.0,8.2,7.4,6.6,2.8,99590.0,0.0
20101115,2.0,2.9,46.0,7.4,4.2,0.1,0.2,101370.0,0.0
20101116,7.0,0.4,25.0,7.5,3.4,-0.6,0.2,102000.0,0.0
20101117,7.0,0.0,17.0,10.9,4.2,0.9,3.4,100770.0,0.0
20101118,7.0,2.4,41.0,12.2,8.0,5.0,0.2,100490.0,0.0
20101119,6.0,5.6,59.0,8.4,7.2,2.2,0.4,101140.0,0.0
20101120,8.0,0.0,17.0,7.7,5.9,3.3,0.0,101330.0,0.0
20101121,8.0,0.0,16.0,7.7,6.3,4.8,0.0,101150.0,0.0
20101122,7.0,0.3,21.0,7.6,6.3,4.8,0.2,100970.0,0.0
20101123,7.0,0.1,18.0,5.6,6.5,5.3,0.0,101180.0,0.0
20101124,3.0,4.6,50.0,2.5,2.7,-0.3,0.2,101060.0,0.0
20101125,6.0,0.9,26.0,3.8,1.3,0.0,0.0,100860.0,0.0
20101126,2.0,6.7,59.0,1.5,0.2,-3.4,0.0,100710.0,0.0
20101127,6.0,0.1,17.0,1.6,-0.8,-3.1,0.0,100400.0,0.0
20101128,4.0,5.6,53.0,1.5,-1.6,-4.8,0.0,100600.0,0.0
20101129,6.0,0.3,20.0,2.0,-1.1,-3.6,1.2,101140.0,0.0
20101130,7.0,0.0,14.0,0.3,0.7,-0.6,0.6,101220.0,0.0
20101201,8.0,0.0,14.0,0.1,-0.5,-1.3,2.2,100760.0,0.0
20101202,8.0,0.0,13.0,3.6,-0.6,-1.2,0.0,100780.0,2.0
20101203,5.0,0.0,13.0,6.5,-0.7,-5.0,0.0,101190.0,1.0
20101204,7.0,0.0,13.0,5.0,1.2,-4.1,0.8,100450.0,0.0
20101205,1.0,3.8,39.0,-0.4,3.0,1.0,0.0,100450.0,0.0
20101206,8.0,0.0,13.0,1.7,-1.8,-3.1,0.0,100310.0,0.0
20101207,7.0,0.2,16.0,3.4,-0.7,-3.0,0.0,100540.0,0.0
20101208,5.0,2.1,29.0,4.3,1.1,-1.2,0.0,101320.0,0.0
20101209,2.0,3.2,35.0,7.1,1.1,-2.2,0.0,102980.0,0.0
20101210,6.0,0.0,12.0,8.7,3.2,-0.7,0.0,103160.0,0.0
20101211,8.0,0.1,14.0,6.2,6.3,3.8,0.0,102580.0,0.0
20101212,4.0,3.6,36.0,4.3,3.3,0.4,0.2,102450.0,0.0
20101213,5.0,0.8,20.0,5.1,1.7,-1.0,0.2,102770.0,0.0
20101214,8.0,0.3,16.0,5.9,2.8,0.4,0.0,103290.0,0.0
20101215,6.0,0.0,12.0,7.1,2.6,-0.7,0.4,103510.0,0.0
20101216,7.0,0.0,12.0,0.2,4.0,0.8,3.2,101070.0,0.0
